EmoEmilia	EmoEmilia_ZH_B00090_S00350_W000000.wav	anger	那就没什么好说的了。贝利亚,就让我粉碎你的计划吧。	你们这群蔬菜战士居然让我出丑接下来看我的厉害启动前进模式轰轰轰
EmoEmilia	EmoEmilia_ZH_B00090_S01431_W000000.wav	anger	你们这群蔬菜战士居然让我出丑接下来看我的厉害启动前进模式轰轰轰	想走啊,没那么容易。怎么我走到哪儿你跟到哪儿?因为你毁了我的全部。我现在唯一要做的就是毁掉你。根本没有谁能毁得了谁,只有自己能毁掉自己。
EmoEmilia	EmoEmilia_ZH_B00090_S02468_W000000.wav	anger	想走啊,没那么容易。怎么我走到哪儿你跟到哪儿?因为你毁了我的全部。我现在唯一要做的就是毁掉你。根本没有谁能毁得了谁,只有自己能毁掉自己。	第一,梦梦不是一件物品,谁赢了就归谁。第二,我不稀罕你的最新款游戏机。
EmoEmilia	EmoEmilia_ZH_B00090_S02936_W000000.wav	anger	第一,梦梦不是一件物品,谁赢了就归谁。第二,我不稀罕你的最新款游戏机。	你是魔鬼吗?你叫我怎么挖地道啊?
EmoEmilia	EmoEmilia_ZH_B00090_S05224_W000000.wav	anger	你是魔鬼吗?你叫我怎么挖地道啊?	脖子里,你忘了你那些丐帮兄弟了吗?居然被信弃义,上了萧皇后的贼产。我呸,如此忘恩负义之人,怎么还有脸活在世上?好好好,真是敬酒不吃吃罚酒。
EmoEmilia	EmoEmilia_ZH_B00090_S05937_W000000.wav	anger	脖子里,你忘了你那些丐帮兄弟了吗?居然被信弃义,上了萧皇后的贼产。我呸,如此忘恩负义之人,怎么还有脸活在世上?好好好,真是敬酒不吃吃罚酒。	如果将来我有钱了,我可不愿意趴在地上,让两个小屁孩来救我的命。你到底害死过多少人?我的意思是,因为你偷走了钻石,有多少人因为贫困而死?
EmoEmilia	EmoEmilia_ZH_B00090_S06809_W000001.wav	anger	如果将来我有钱了,我可不愿意趴在地上,让两个小屁孩来救我的命。你到底害死过多少人?我的意思是,因为你偷走了钻石,有多少人因为贫困而死?	让你走就赶快走开,谁要和你这个小屁孩玩啊?
EmoEmilia	EmoEmilia_ZH_B00090_S07757_W000000.wav	anger	让你走就赶快走开,谁要和你这个小屁孩玩啊?	你们凭什么抓我?我又没杀人没放火。我只是帮医院里的病人找肾炎而已。这些卖肾的都是自愿的。没有人逼迫他们。我是在做热心工业。你们应该感谢我,而不是抓我。
EmoEmilia	EmoEmilia_ZH_B00090_S08860_W000000.wav	anger	你们凭什么抓我?我又没杀人没放火。我只是帮医院里的病人找肾炎而已。这些卖肾的都是自愿的。没有人逼迫他们。我是在做热心工业。你们应该感谢我,而不是抓我。	有些事情不太重要，也就算了，可这一次，老爸真是太马大哈了。
EmoEmilia	EmoEmilia_ZH_B00005_S00011_W000003.wav	anger	有些事情不太重要，也就算了，可这一次，老爸真是太马大哈了。	妈妈不仅骗我们这一老一小连她自己也骗。
EmoEmilia	EmoEmilia_ZH_B00005_S00018_W000010.wav	anger	妈妈不仅骗我们这一老一小连她自己也骗。	不过最近妈妈居然每天清晨都练起的歌，这还了得。我强烈抗议，妈妈。
